0000120250901Gourmetloff 520G              00399001Carb
0000120250901Spekeskinke250G               00969001Protein
0000120250901Baguette fin 260G             00448002Carb
0000220250909Spekeskinke 250G              00974001Protein
0000220250909Eplejuice 1L                  00249001Drink
0000220250909Baguette fin 260G             00224001Carb
0000320250910Stort horn 240G               00508002Carb
0000420250912Kims paprika kick 200G        01500006Snack
0000420250912Tortillachips 185G ost        02500010Snack
0000420250912Pringles paprika 165G         01500006Snack
0000420250912Smash 350G                    02097003Snack
0000420250912Polly peanotter 275G          01000004Snack
0000520250915Eplejuice 1L                  00249001Drink
0000520250915Salsa dip 220G                00399001Sauce
0000520250915Paprika rod                   00247401Green
0000520250915Frobaguette 100G              00460003Carb
0000620250917Gourmetloff 520G              00399001Carb
0000620250917Brix valmue                   00398002Carb
0000720250919Smagodt losvekt               02386001Snack
0000820250919Pizza&kebab dressing          00399001Sauce
0000820250919Eplejuice 1L                  00249001Drink
0000820250919Fersken torket 200g           00998002Green
0000820250919Brokkoli                      00149001Green
0000920250922Snack bites                   00195001Snack
0000920250922Hvitloksbrod                  00285001Carb
0001020250922Baconsvor 135G                00300001Snack
0001020250922Cheez doodles 450G            01000002Snack
0001020250922Chilinuts hot 300G            00900003Snack
0001020250922Cheez balls 420G              01000002Snack
0001120250922Frobaguette 100G              00184001Carb
0001120250922Salsa dip 220G                00399001Sauce
0001120250922Maiskaker paprika 125G        00259001Snack
0001220250923Ostebaguette 130G             00408002Carb
0001220250923Frobaguette 100G              00184001Carb
0001220250923Pizzafyll mexicana            00244001Sauce
0001320250926Ananasjuice 1L                00469001Drink
0001320250926Eplejuice 1L                  00249001Drink
0001320250926Spekeskinke 250G              00974001Protein
0001420250929Repsils honning&sitron        00574001Snack
0001420250929Groddost 1kg                  01488501Protein
0001420250929Paprika rod                   00254401Green
0001420250929Frobaguette 100G              00368002Carb
0001420250929Gourmetloff 520G              00399001Carb
0001520251001Pommes noisettes 600G         01068002Carb
0001520251001Ostebaguette 130G             00408002Carb
0001520251001Eplejuice 1L                  00249001Drink
0001620251003Sotpotet                      00201801Carb
0001620251003Paprika rod                   00257201Green
0001620251003Frobaguette 100G              00552003Carb
0001720251003Sjokokirsj                    00473401Snack
0001720251003Krone-is sjokolade            00377401Snack
0001720251003Sandwich                      00814802Snack
0001720251003Daim balltop mini             00654001Snack
0001720251003Sorlandsis salt karamel       00838802Snack
0001720251003Wienerpolse 520G              00515401Protein
0001720251003Kjottpolse 900G               00899001Protein
0001820251007Frobaguette 100G              00368002Carb
0001820251007Chilinotter 175G              00249001Snack
0001920261010Solsikkeolje 1L               00758002Other
0001920261010Eplejuice 1L                  00249001Drink
0001920261010Sotpotet                      00261501Carb
0001920261010Frobaguette 100G              00368002Carb
0002020251011Snickers                      01950003Snack
0002020251011Kitkat                        01300002Snack
0002020251011Lion                          01300002Snack
0002020251011Solo 12-pk                    05940006Drink
0002020251011Popcorn cheddar 75G           00299001Snack
0002020251011Cheez doodles 450G            00500001Snack
0002020251011Baconsvor 135G                00900003Snack
0002120251014Spekeskinke                   00974001Protein
0002120251014Rundstykke                    00298002Carb
0002120251014Paprika                       00227901Green
0002220251016Frobaguette                   00552003Carb
0002320251017Bubble tea                    00259001Drink
0002320251017Liba brod                     00100001Carb
0002420251017Pommes noisettes              01602003Carb
0002420251017Lok                           00149001Green
0002420251017Eplejuice                     00249001Drink
0002420251017Gulrot                        00189001Green
0002420251017Fersken                       00998002Green
0002420251017Brokkoli                      00289001Green
0002420251017Paprika                       00251601Green
0002420251017Egg                           00474001Protein
0002520251020Helmelk                       00234001Drink
0002520251020Erter                         00159001Green
0002520251020Paprika                       00268401Green
0002520251020Edamame                       00239001Green
0002520251020Brokkoli                      00289001Green
0002520251020Kinakal                       00349001Green
0002520251020Bananer                       00157601Green
0002520251020Brod                          00399001Carb
0002620251021Frobaguette                   00368002Carb
0002620251021Eplejuice                     00249001Drink
0002620251021Smor                          00629001Protein
0002620251021Egg                           00544001Protein
0002620251021Rundstykke                    00149001Carb
0002720251022Ris                           01899001Carb
0002820251024Olje                          00854001Sauce
0002820251024Dressing                      00399001Sauce
0002820251024Ketchup                       00289001Sauce
0002820251024Erter                         00318002Green
0002820251024Polse                         01396004Protein
0002820251024Pizzakrydder                  00269001Sauce
0002820251024Hvitlokspulver                00374001Sauce
0002820251024Lok                           00149001Green
0002820251024Sitron                        00229401Green
0002820251024Tomater                       00998002Green
0002820251024Salat                         00299001Green
0002820251024Ingefer                       00103001Green
0002820251024Salat                         00299001Green
0002820251024Paprika                       00278201Green
0002820251024Nudler                        00289001Carb
0002820251024Burgerbrod                    00329001Carb
0002820251024Pak choy                      00329001Green
0002820251024Salat                         00219001Green
0002820251024Hvitlok                       00159001Green
0002820251024Champignon                    00303601Green
0002820251024Frobaguette                   00368002Carb
0002920251024Hvitloksbaguette              01200006Carb
0002920251024Lokringer                     00400002Green
0002920251024Aspargesbonner                00200001Green
0002920251024Smor                          00200002Sauce
0002920251024Gulrot                        00100001Green
0002920251024Bananer                       00182401Green
0003020251025Popcorn                       02100014Snack
0003020251025Eplejuice                     00400002Drink
0003020251025Kjeks                         00500002Snack
0003020251025Popcorn                       00249001Snack
0003020251025Sennep                        00200001Sauce
0003020251025Muskatnott                    00129001Sauce
0003020251025Estragon                      00329001Sauce
0003120251027Dressing                      00399001Sauce
0003120251027Frobaguette                   00368002Carb
0003120251027Helmelk                       00234001Drink
0003120251027Dressing                      00304001Sauce
0003220251031Egg                           00564001Protein
0003220251031Syltetoy                      00369001Sauce
0003220251031Helmelk                       00234001Drink
0003220251031Spekeskinke                   00864001Protein
0003220251031Frobaguette                   00368002Carb
0003320251104Nudler                        00596004Carb
0003320251104Kinakal                       00299001Green
0003320251104Olje                          00799001Sauce
0003320251104Eddikk                        00299001Sauce
0003420251105Frobaguette                   00368002Carb
0003420251105Champignon                    00112801Green
0003420251105Brokkoli                      00289001Green
0003420251105Tomater                       00239001Green
0003420251105Gulrot                        00249001Green
0003520251107Pitabrod                      00344001Carb
0003520251107Frobaguette                   00368002Carb
0003520251107Salat                         00249001Green
0003620251110Paprika                       00293601Green
0003620251110Gulrot                        00249001Green
0003620251110Eplejuice                     00249001Drink
0003620251110Ketchup                       00289001Sauce
0003620251110Frobaguette                   00184001Carb
0003720251111Sjokoflarn                    00599001Snack
0003720251111Repsil                        00574001Snack
0003720251111Ostebaguette                  00199001Carb
0003720251111Frobaguette                   00184001Carb
0003720251111Kinakal                       00199001Green
